,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1890,4.3019741216543625,2.63495655790223,1.6842048348685414,0.9197352786893616,2.7333722246959535,1.1759584551947566,2.233746423042573,2.3418117452710137,2.545118611256584,1.2161571398290845,1.2217477953387363,2.813410451889125,2.2869398314721185,1.6546545840612863,1.4772395264529838,1.2374549028413337,2.6227236690043005,2.5238718959317152,1.8539102588731011,2.73498931870008,1.30271323042355,1.44034306387283,1.7441936220924743,,1.7178105569468392
1891,4.360584508548125,2.7150341432974874,1.6571114943288532,0.9322912438611438,2.504221847069735,1.2231532691922913,2.2304883840412364,2.3728966000864307,2.5821257517957767,1.198564722736994,1.220459729091202,2.8124415434401095,1.9758929415599646,1.6786279008324458,1.514213136547147,1.1634294382199528,2.518472689260315,2.440650376559492,1.8648905832786777,2.72820688026155,1.2779718231164547,1.3992454534686476,1.7445626979800244,,1.7168591405429696
1892,3.6197401323420944,2.7627424929049758,1.666337567169237,0.9169683197555157,2.6406969004472187,1.184499505043687,2.246699997840192,2.4120053330189206,2.7511918674428912,1.14353257393258,1.2350226139555431,2.769719763028665,2.044477038280151,1.702356528928213,1.5280507532178575,1.2220909595357692,2.518851768847005,2.4479804487076002,1.8730756357768719,2.6709480122855087,1.2672040933184638,1.494498378084968,1.7243508769528535,,1.743254833993365
1893,3.3001740548108303,2.7668959949231686,1.6639391911409018,0.9034788148820498,2.67758905123838,1.2289796612247643,2.389778739002337,2.438537314611897,2.6317667683155683,1.175834102771614,1.1895169400215804,2.7639325128705106,2.1577305975560734,1.7266964723168443,1.5650797304226272,1.209305427131087,2.5269310778649805,2.4388771857953553,1.8968326145219772,2.6731951842471364,1.2894796346304074,1.5653466464502586,1.8014617959837902,,1.775076219673558
1894,3.30513545619973,2.908146665415626,1.6541150832753555,0.9385083302499182,2.5483385719327374,1.2026899740140817,2.433054415005574,2.461080181937772,2.639560384457417,1.2399203868177648,1.2907995252647515,2.904014413582151,2.1870133132001146,1.75122298094772,1.5688680506596977,1.3386339439747532,2.5733318193686965,2.4647084413217693,1.8826175575782493,2.6192775700480833,1.2709678889752283,1.5679190577350237,1.7894006943824103,,1.8240515074763928
1895,3.0136223481727975,2.9665911571902956,1.6504414241813763,0.9222453557785207,2.7616069204403284,1.2720476767366375,2.4674127898865934,2.5820709107279964,2.5961504961695985,1.2684482403814823,1.2587037058298594,2.9356949810023334,2.0848804456318204,1.77441298511704,1.5743760595258967,1.3386558988957757,2.6089140569216736,2.5086003646082307,1.8797887396582957,2.506344655834006,1.3258124256159147,1.6124731440410023,1.8890248199395678,,1.824402323388301
1896,3.143548080081019,3.0029327283973934,1.6709366467097164,0.8924818811560008,2.7556458337909304,1.2520422949780274,2.508177561416593,2.6475288822090732,2.3660670829320436,1.3164957166374458,1.2888329470739408,2.967986213737622,2.268793761710596,1.7977197729247218,1.5877695318348737,1.2486171600028357,2.6271855872752137,2.379634304128144,1.905865783025145,2.57381623772248,1.34304926790133,1.6414246532660486,1.8113577352231145,,1.8378344312369255
1897,2.871476213107761,3.0310860336933905,1.6736666410066336,0.9836319350710464,2.8060519077121993,1.2221284333762388,2.5380357337161628,2.6654942050691135,2.4686702677553085,1.3587161042255775,1.2499693572974886,2.971195494308615,1.909846173785076,1.8200417026077824,1.5746005097490496,1.2497996802422793,2.694306835344021,2.582868339506289,1.9804214561400286,2.755807469822288,1.4220189792873938,1.723269707997254,1.9124759856470628,,1.838142545962605
1898,3.233897196820126,3.179675794079765,1.6756320055233807,1.0144923677629705,2.7587578597926377,1.3633733020666134,2.6287037352483567,2.6545272119086403,2.6360400030652356,1.403839133033366,1.3166413499396883,3.0625724554800566,2.045723799415007,1.8419010621021032,1.5729311226147846,1.45040352331349,2.7011673576231954,2.5996226838948546,1.9675617012880613,2.7288973015706803,1.461832659888572,1.7573489269391935,1.895293546579842,,1.9056854914932995
1899,3.1503871541688,3.215363133768055,1.6806802526038458,1.0969524105213344,2.7938426233117646,1.3646615905700914,2.576863347322125,2.701672988137917,2.659934166074739,1.3577355734204146,1.3535317352899596,3.124068857806265,2.0714454983354154,1.861670808249888,1.5777074523661767,1.3156712193984599,2.4626134751191366,2.6033152961010755,1.996123584135159,2.7606375987662535,1.509363868451882,1.8153181449883609,1.9742252692699953,,1.90638435856243
1900,3.253650478468583,3.2129281125960247,1.6904317304342726,1.1435530785563606,2.7436806799560585,1.3147629912568604,2.5234161522925533,2.735508450744092,2.688061368049985,1.4139146349970604,1.3617898490963283,3.0653209987762655,1.8342137833573955,1.87815996701615,1.6115630671419732,1.3514767970614405,2.3685963528469873,2.5727842960744165,1.9571294943119006,2.8375518147252023,1.5789504634289724,1.8054544990535246,1.945313964391093,,1.8996016385481398
