Year,AUS,AUT,BEL,CAN,CHE,CHL,DEU,DNK,ESP,FIN,FRA,GBR,GRC,IRL,ITA,JPN,MEX,NLD,NOR,NZL,PRT,SWE,USA,,Euro Area
1908,9237.011501895708,6732.321758825772,5047.005360480814,6789.838433201268,10627.70981632777,3166.222176190381,7729.792324313755,6470.7295738730845,4865.608906983139,3164.2048018017563,5208.008494042238,6531.140834373584,5796.653026005388,4189.208713691433,4432.818697882661,2294.446496524679,3961.7838074413125,7059.392876896066,5239.78730500089,9763.439326775047,2496.733018214489,4774.0358101369775,6251.930873905523,,5817.241668336694
1909,9802.83955129104,6657.881549521098,5110.5935043767795,7317.384916829839,11048.203508059849,3003.9868735664454,7718.430776433202,6635.43760294861,4916.137554626305,3261.8764873115306,5370.234523493483,6621.171777095904,5869.384672285095,4199.752193725718,4468.237615287841,2263.3017248140154,4035.5371303682646,7224.778286795253,5306.720326197668,9036.022328134728,2473.930847967456,4743.30855951739,6855.449134899446,,5871.43859441288
1910,10254.011539670453,6689.839177285038,5277.474070051766,7728.272742630991,11287.14885207535,3261.106719155645,7747.239033498599,6749.41282097945,4711.334700672842,3299.2150312361805,5108.061048356057,6768.342697321287,5806.052634811565,4229.467106984476,4467.343323588984,2268.892827714465,4068.039165421729,7478.544420408515,5485.526623351158,9192.535230827363,2514.509453310722,4968.623130875524,6740.7193258267935,,5824.7301809012515
1911,10045.28181910918,6852.884839154892,5437.588791284297,8007.267952955853,11408.216148550597,3212.4844627158773,7978.003508957323,7025.53625573865,5014.881727409557,3352.4730040515906,5626.187489645547,6912.376694407442,7193.923595559529,4253.483934061424,4523.386256337186,2359.078676245455,4099.757696781105,7673.181530709089,5658.989464999432,9938.29684023879,2542.587564356712,5070.530515474294,6848.7798456901455,,6108.54187681568
1912,10034.848253185675,7137.2261313259505,5501.44602191218,8320.129508104683,11396.452658521934,3374.590501159199,8099.4778604695075,6944.591412399066,4943.947969310366,3496.53571627747,6090.697631918555,6989.953435053114,6934.426923545865,4279.497111899942,4534.4159178026675,2408.6845061422528,4127.5097281471,7806.040745101187,5883.252171843431,10008.872637540002,2573.144285154118,5266.343381368238,7137.427507799981,,6253.511783463176
1913,10149.667865964391,7050.175923974439,5503.802127390353,8452.491838868462,11116.703282260636,3359.078202582293,8379.805938012025,7126.653129138995,5110.379662139207,3651.0673234162114,6036.550023288922,7223.060023669315,4122.920650868357,4319.440291914842,4758.196722094735,2413.2205516510103,4159.310362128683,7990.910768805096,6140.736067136177,9515.254452551533,2560.4390232859187,5567.943518579314,7277.064477800791,,6324.778976142728
1914,9893.692205717507,6309.90745195712,4032.272470786554,7651.333893764472,11031.584920394473,3123.9670854571286,7743.317828224333,7487.777031188729,5006.112543496137,3460.695195974356,5060.387599921224,7231.920816753572,5226.083398692918,4313.689670186675,4467.173671451627,2308.4787841545863,4190.029532295548,7635.186025407664,6204.010033882753,9404.5140694371,2575.1631076383264,5498.023055534703,6584.355778249461,,5798.315740905372
1915,9637.513999669929,6316.957627881094,3312.0742965219447,8045.950818869926,11179.970605264827,3019.599685103797,6739.110721756355,6882.1471080507945,5053.948193390562,3252.2634187141225,4454.134282150944,7762.850334901686,3947.678822629837,4338.082328479869,4252.827036086641,2488.0974377984658,4220.950474035953,7748.476907394543,6409.661753498671,9482.439846185025,2514.269297033667,5621.516626236329,6732.827188502665,,5254.55144866681
1916,9601.504625284828,5675.391618799418,3733.0061413979547,8831.419497107756,11144.772352931981,3249.0056358955185,6672.596428825292,7088.560568897959,5253.628293089134,3276.3813898023805,5103.378906657829,7903.940657174951,3332.8118484625948,4322.176181521285,4628.750837467781,2836.157598999743,4252.0735925137005,7808.689551905892,6594.371725491558,9472.895084045964,2526.283466749559,5938.718392270728,7730.364512143593,,5431.96499790996
1917,9429.88966865476,4949.2234986300555,3156.546740165049,9125.031196760772,9913.142359563359,3416.431613000484,5715.671510659096,6588.192362841844,5154.641607847909,2733.7591561818867,5054.116322413234,7957.719792295032,2888.4808715105287,4296.114509332284,4656.810228177879,2897.668027560529,4283.560184910526,7158.179566818521,5925.543976732003,9291.08854158701,2482.9393118445987,5183.693043314933,7618.60870146457,,5016.862294392124
1918,9056.794665805399,4413.410128407997,3007.984138212818,8440.76292136576,9898.356360869559,3487.8320759713683,5608.4516245523855,6300.398197345935,5084.129539886159,2370.385943406136,4329.591997306758,8013.9394238794175,4835.292228021179,4260.071083335431,4562.500583383786,2903.4981878219646,4315.2499833039365,6616.582997463795,5628.3524818940805,8972.159575136202,2354.308867298169,5045.249895831055,8120.9653136105435,,4821.082613085039
1919,9281.226314779029,4660.498315720902,3764.045572036051,7640.040063651667,10579.517766422865,3048.471755559329,5391.012735272349,7030.941866018331,5081.730426934682,2869.7578040654525,4773.019358692967,7149.460528294686,4277.837122693818,4165.935466655233,4335.46401948304,3179.855730439608,4347.143396559118,8135.740595488612,6529.4260855533175,8928.436537708516,2402.5373539750876,5098.136523302363,7846.290981659631,,4862.363194931356
